Kod,Nazwa,emisja ogółem na km2;2021;[t],ogółem;2021;[-],nakłady inwestycyjne w przedsiębiorstwach na 1 mieszkańca;2021;[zł],poszkodowani w wypadkach przy pracy na 1000 pracujących ogółem;2021;[osoba],współczynnik skolaryzacji netto;szkoły podstawowe;2021;[%],ogółem;2021;[%],ogółem;2021;[zł]
2204000,Powiat gdański,"3,34","4,5",5292,"4,91","96,29","4,8","5484,63"
2205000,Powiat kartuski,"12,14","5,0",2471,"4,97","92,70","3,8","4933,56"
2206000,Powiat kościerski,"41,93","4,5",3673,"4,73","94,50","7,3","4810,12"
2207000,Powiat kwidzyński,"1854,81","3,7",2940,"4,86","89,93","7,3","5205,22"
2208000,Powiat lęborski,"182,50","4,1",2257,"5,34","93,44","10,7","5316,30"
2209000,Powiat malborski,"203,70","4,1",3358,"6,37","92,09","9,0","4873,92"
2210000,Powiat nowodworski,"6,09","4,7",3017,"2,76","88,81","13,9","5077,72"
2211000,Powiat pucki,"14,04","4,5",4786,"6,48","89,62","6,3","5205,94"
2212000,Powiat słupski,"12,45","4,1",4212,"5,63","85,71","10,1","5105,88"
2213000,Powiat starogardzki,"279,37","4,3",3214,"4,61","91,53","6,1","5635,66"
2214000,Powiat tczewski,"185,12","4,6",3665,"5,81","95,51","6,3","5455,53"
2215000,Powiat wejherowski,"75,20","5,1",3083,"4,69","94,82","5,5","5056,01"
2216000,Powiat sztumski,"45,97","3,8",1796,"8,28","83,79","7,4","4984,90"
2261000,Powiat m. Gdańsk,"12623,73","5,4",9949,"4,16","102,10","2,9","7084,42"
2262000,Powiat m. Gdynia,"5055,37","4,6",6321,"5,15","96,21","2,4","6298,57"
2263000,Powiat m. Słupsk,"3580,47","4,1",5071,"8,48","104,21","5,5","5375,69"
2264000,Powiat m. Sopot,"7,88","4,7",4345,"3,31","113,80","1,7","7331,15"
2401000,Powiat będziński,"5883,06","3,6",4401,"5,83","88,58","7,2","5088,35"
2402000,Powiat bielski,"746,49","4,3",7219,"4,87","90,26","3,9","5205,16"
2403000,Powiat cieszyński,"150,55","4,3",3397,"4,65","93,76","5,5","5109,39"
2404000,Powiat częstochowski,"275,37","4,0",2131,"3,77","86,09","8,4","5015,76"
2405000,Powiat gliwicki,"351,46","3,9",5741,"5,18","91,72","5,1","5062,72"
2406000,Powiat kłobucki,"36,09","4,6",3882,"3,41","91,43","8,5","4435,67"
2407000,Powiat lubliniecki,"35,34","4,1",3575,"5,00","94,88","5,6","5038,72"
2408000,Powiat mikołowski,"13483,49","4,6",3599,"8,50","94,62","3,7","5294,33"
2409000,Powiat myszkowski,"43,47","3,8",3029,"2,87","94,36","7,0","5006,82"
2410000,Powiat pszczyński,"464,76","4,7",6913,"7,14","95,89","3,4","5270,28"
2411000,Powiat raciborski,"195,23","4,2",5226,"7,21","95,85","4,9","5907,56"
